departamento,codigo_departamento,municipio,codigo_municipio,poblacion,Fecha,count
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-13,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-15,1
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-17,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-18,1
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-19,1
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-20,1
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-21,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-22,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-24,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-25,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-27,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-28,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-29,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-30,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-03-31,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-01,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-02,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-03,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-04,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-05,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-06,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-07,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-08,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-09,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-10,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-11,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-12,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-13,1
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-14,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-15,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-16,1
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-17,1
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-18,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-19,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-20,4
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-21,2
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-22,3
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-23,3
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-24,2
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-25,3
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-26,2
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-27,12
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-28,6
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-29,5
GUATEMALA,01,GUATEMALA,0101,1205668,2020-04-30,13
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-01,7
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-02,0
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-03,6
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-04,8
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-05,4
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-06,17
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-07,12
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-08,10
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-09,44
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-10,16
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-11,34
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-12,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-13,65
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-14,53
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-15,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-16,35
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-17,41
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-18,77
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-19,85
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-20,110
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-21,106
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-22,202
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-23,64
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-24,116
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-25,125
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-26,96
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-27,77
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-28,61
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-29,61
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-30,49
GUATEMALA,01,GUATEMALA,0101,1205668,2020-05-31,55
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-01,105
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-02,63
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-03,99
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-04,122
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-05,159
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-06,116
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-07,98
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-08,110
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-09,103
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-10,163
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-11,106
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-12,103
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-13,33
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-14,125
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-15,157
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-16,271
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-17,196
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-18,248
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-19,184
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-20,102
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-21,99
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-22,321
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-23,284
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-24,125
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-25,394
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-26,222
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-27,241
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-28,207
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-29,251
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-30,408
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-01,436
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-02,447
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-03,464
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-04,304
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-05,231
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-06,346
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-07,214
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-08,371
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-09,350
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-10,331
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-11,252
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-12,112
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-13,398
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-14,375
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-15,281
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-16,313
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-17,377
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-18,192
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-19,59
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-20,358
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-21,378
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-22,340
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-23,309
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-24,428
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-25,215
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-26,69
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-27,424
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-28,345
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-29,342
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-30,249
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-31,290
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-01,97
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-02,60
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-03,195
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-04,331
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-05,240
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-06,188
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-07,209
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-08,104
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-09,55
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-10,270
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-11,223
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-12,262
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-13,206
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-14,134
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-15,27
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-16,79
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-17,152
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-18,167
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-19,178
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-20,232
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-21,179
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-22,60
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-23,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-24,222
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-25,173
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-26,222
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-27,176
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-28,152
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-29,59
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-30,20
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-31,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-01,121
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-02,129
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-03,119
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-04,98
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-05,35
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-06,25
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-07,149
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-08,184
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-09,140
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-10,99
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-11,76
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-12,44
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-13,26
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-14,80
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-15,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-16,99
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-17,117
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-18,134
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-19,40
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-20,40
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-21,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-22,162
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-23,73
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-24,138
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-25,164
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-26,98
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-27,29
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-28,120
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-29,98
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-30,117
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-01,120
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-02,119
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-03,40
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-04,45
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-05,114
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-06,144
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-07,157
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-08,65
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-09,138
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-10,39
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-11,25
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-12,126
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-13,128
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-14,160
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-15,102
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-16,67
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-17,142
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-18,66
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-19,117
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-20,18
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-21,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-22,118
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-23,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-24,39
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-25,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-26,126
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-27,191
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-28,125
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-29,130
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-30,138
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-31,29
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-01,22
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-02,96
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-03,149
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-04,142
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-05,129
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-06,135
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-07,57
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-08,37
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-09,120
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-10,153
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-11,178
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-12,160
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-13,139
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-14,39
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-15,21
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-16,209
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-17,141
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-18,145
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-19,201
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-20,174
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-21,45
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-22,21
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-23,171
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-24,161
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-25,167
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-26,126
GUATEMALA,01,GUATEMALA,0101,1205668,2020-11-27,183
